claimant_tag,province_id,strength,dispute,basis,source_url
UKG,226,core,Gibraltar,United Kingdom administered Gibraltar in 2000 while Spain maintained its sovereignty claim,https://www.un.org/dppa/decolonization/en/nsgt/gibraltar
ESP,335,core,Melilla,Spanish-administered integral territory represented as Moroccan-owned by the coarse vanilla map,https://www.britannica.com/place/Melilla
ESP,1751,core,Ceuta,Spanish-administered integral territory represented as Moroccan-owned by the coarse vanilla map,https://www.britannica.com/place/Ceuta
CHN,738,core,Taiwan,PRC actively claimed Taiwan as integral Chinese territory in 2000,https://www.fmprc.gov.cn/eng/zy/wjls/3604_665547/202405/t20240531_11367591.html
CHN,2155,core,Taiwan,PRC actively claimed Taiwan as integral Chinese territory in 2000,https://www.fmprc.gov.cn/eng/zy/wjls/3604_665547/202405/t20240531_11367591.html
PAK,508,core,Kashmir,Pakistan claimed the Indian-administered portion of Kashmir,https://peacekeeping.un.org/en/mission/unmogip
PAK,4449,core,Jammu and Kashmir,Pakistan claimed the Indian-administered portion of Jammu and Kashmir,https://peacekeeping.un.org/en/mission/unmogip
JPN,1032,claim,Northern Territories,Japan claimed the southern Kuril islands administered by Russia,https://www.mofa.go.jp/region/europe/russia/territory/overview.html
ARG,1095,core,Falkland Islands,Argentina actively claimed the British-administered Falkland Islands,https://www.un.org/dppa/decolonization/en/nsgt/falkland-islands-malvinas
VE1,743,core,Guayana Esequiba,Venezuela actively claimed territory west of the Essequibo River,https://www.icj-cij.org/case/171
GTM,843,core,Belize,Guatemala maintained an active territorial claim to Belize in 2000,https://www.oas.org/sap/peacefund/belizeandguatemala/
SDN,2324,core,Halaib Triangle,Sudan claimed the Egyptian-administered Halaib Triangle,https://www.britannica.com/place/Halaib-Triangle
GEO,1856,core,Abkhazia,Georgia claimed separatist Abkhazia represented as Russian-owned by the vanilla assignment,https://www.un.org/securitycouncil/content/repertoire/asia
GEO,2201,core,South Ossetia,Georgia claimed separatist South Ossetia represented by the coarse Alania province,https://www.osce.org/georgia-closed
AZE,420,core,Nagorno-Karabakh,Azerbaijan claimed Armenian-controlled Nagorno-Karabakh represented by Ganja,https://www.osce.org/mg/108306
RUS,420,claim,Soviet successor territory,Armenia belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
