tag,adm_tech,dip_tech,mil_tech,technology_tier,embraced_institutions,treasury,inflation,stability,prestige,corruption,legitimacy_or_tradition,manpower,sailors,army_quality_tier,navy_quality_tier,economic_tier,infrastructure_tier,source,verification_notes
AFG,5,5,5,1,,600,0,-1,0,5,50,30000,0,1,0,1,1,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
AGL,6,6,6,2,,600,0,0,0,0,60,23250,1250,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
ALB,8,8,8,4,,600,0,0,0,0,60,6750,1050,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
ALG,7,7,7,3,,200,0,0,0,0,60,63000,1800,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
ANB,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
ARM,7,7,7,3,,600,0,0,0,0,60,3750,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
AUS,9,9,9,5,,50,0,0,0,0,60,121500,15600,5,5,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
AZE,7,7,7,3,,600,0,0,0,0,60,14250,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BBD,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BEI,8,8,8,4,,600,0,0,0,0,60,3000,350,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BEL,9,9,9,5,,200,0,0,0,0,60,42000,800,5,5,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BEN,6,6,6,2,,600,0,0,0,0,60,3750,250,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BFA,6,6,6,2,,600,0,0,0,0,60,8250,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BGD,7,7,7,3,,200,0,0,0,0,60,57750,900,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BHE,8,8,8,4,,600,0,0,0,0,60,9750,0,4,0,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BHM,7,7,7,3,,600,0,0,0,0,60,2250,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BHR,7,7,7,3,,600,0,0,0,0,60,3000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BHU,7,7,7,3,,600,0,0,0,0,60,1500,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BLR,7,7,7,3,,600,0,0,0,0,60,18750,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BLZ,7,7,7,3,,600,0,0,0,0,60,1500,600,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BOL,7,7,7,3,,600,0,0,0,0,60,15000,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BOT,6,6,6,2,,600,0,0,0,0,60,6750,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BRZ,7,7,7,3,,50,0,0,0,0,60,279000,7800,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BUL,8,8,8,4,,600,0,0,0,0,60,16500,1050,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
BUU,5,5,5,1,,600,0,-1,0,5,50,3000,0,1,0,1,1,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
CAF,6,6,6,2,,600,0,0,0,0,60,4500,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
