country_a,country_b,relationship_type,start_date,end_date,initial_opinion,organization,source,verification_notes
FR2,GBR,alliance,1904.4.8,9999.1.1,100,,et:history/diplomacy/modern_alliances.txt,Effective ET relationship on 2000.1.1; manual verification pending.
GBR,USA,alliance,1941.12.7,3000.1.1,100,,et:history/diplomacy/modern_alliances.txt,Effective ET relationship on 2000.1.1; manual verification pending.
CHN,NOK,guarantee,1953.1.1,3000.1.1,75,,et:history/diplomacy/modern_alliances.txt,Effective ET relationship on 2000.1.1; manual verification pending.
EGY,PLS,guarantee,1988.11.15,3000.1.1,75,,et:history/diplomacy/modern_alliances.txt,Effective ET relationship on 2000.1.1; manual verification pending.
JOR,PLS,guarantee,1988.11.15,3000.1.1,75,,et:history/diplomacy/modern_alliances.txt,Effective ET relationship on 2000.1.1; manual verification pending.
SYR,PLS,guarantee,1988.11.15,3000.1.1,75,,et:history/diplomacy/modern_alliances.txt,Effective ET relationship on 2000.1.1; manual verification pending.
USA,FRM,guarantee,1979.4.10,3000.1.1,75,,et:history/diplomacy/modern_alliances.txt,Effective ET relationship on 2000.1.1; manual verification pending.
USA,ISR,guarantee,1950.5.25,3000.1.1,75,,et:history/diplomacy/modern_alliances.txt,Effective ET relationship on 2000.1.1; manual verification pending.
USA,SKO,guarantee,1953.1.1,3000.1.1,75,,et:history/diplomacy/modern_alliances.txt,Effective ET relationship on 2000.1.1; manual verification pending.
ARM,,organization_member,2000.1.1,9999.12.31,0,CIS,manual:membership-baseline-2000.1.1,Organization metadata only; does not create an EU4 alliance.
AZE,,organization_member,2000.1.1,9999.12.31,0,CIS,manual:membership-baseline-2000.1.1,Organization metadata only; does not create an EU4 alliance.
BLR,,organization_member,2000.1.1,9999.12.31,0,CIS,manual:membership-baseline-2000.1.1,Organization metadata only; does not create an EU4 alliance.
GEO,,organization_member,2000.1.1,9999.12.31,0,CIS,manual:membership-baseline-2000.1.1,Organization metadata only; does not create an EU4 alliance.
KYR,,organization_member,2000.1.1,9999.12.31,0,CIS,manual:membership-baseline-2000.1.1,Organization metadata only; does not create an EU4 alliance.
KZK,,organization_member,2000.1.1,9999.12.31,0,CIS,manual:membership-baseline-2000.1.1,Organization metadata only; does not create an EU4 alliance.
MDV,,organization_member,2000.1.1,9999.12.31,0,CIS,manual:membership-baseline-2000.1.1,Organization metadata only; does not create an EU4 alliance.
