country,branch,formation_name,location,unit_category,quantity,quality_tier,source,verification_notes
AFG,army,Afghanistan Armed Forces,451,regular_army,6,1,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
AGL,army,Angola Armed Forces,1168,regular_army,6,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
AGL,navy,Angola Fleet,1168,surface_fleet,3,2,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
ALB,army,Albania Armed Forces,4750,regular_army,3,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ALB,navy,Albania Fleet,4175,surface_fleet,3,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
ALG,army,Algeria Armed Forces,338,regular_army,9,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ALG,navy,Algeria Fleet,338,surface_fleet,4,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
ANB,army,Antigua and Barbuda Armed Forces,496,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
ARM,army,Armenia Armed Forces,419,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
AUS,army,Australia Armed Forces,4859,regular_army,13,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
AUS,navy,Australia Fleet,1090,surface_fleet,12,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
AZE,army,Azerbaijan Armed Forces,421,regular_army,4,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BBD,army,Barbados Armed Forces,501,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BEI,army,Brunei Armed Forces,636,regular_army,2,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BEI,navy,Brunei Fleet,636,surface_fleet,2,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
BEL,army,Belgium Armed Forces,92,regular_army,8,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BEL,navy,Belgium Fleet,1744,surface_fleet,3,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
BEN,army,Benin Armed Forces,1141,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BFA,army,Burkina Faso Armed Forces,1137,regular_army,4,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BGD,army,Bangladesh Armed Forces,564,regular_army,9,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BGD,navy,Bangladesh Fleet,568,surface_fleet,3,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
BHE,army,Bosnia and Herzegovina Armed Forces,3002,regular_army,4,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BHM,army,Bahamas Armed Forces,482,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BHR,army,Bahrain Armed Forces,396,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BHU,army,Bhutan Armed Forces,565,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BLR,army,Belarus Armed Forces,276,regular_army,5,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BLZ,army,Belize Armed Forces,4589,regular_army,2,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BOL,army,Bolivia Armed Forces,802,regular_army,5,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BOT,army,Botswana Armed Forces,3013,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BRZ,army,Brazil Armed Forces,2908,regular_army,17,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BRZ,navy,Brazil Fleet,763,surface_fleet,9,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
BUL,army,Bulgaria Armed Forces,1765,regular_army,5,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
BUL,navy,Bulgaria Fleet,3250,surface_fleet,3,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
BUU,army,Burundi Armed Forces,4070,regular_army,2,1,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CAF,army,Central African Republic Armed Forces,3023,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CAN,army,Canada Armed Forces,4892,regular_army,15,5,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CAN,navy,Canada Fleet,973,surface_fleet,15,5,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
CDD,army,Chad Armed Forces,2287,regular_army,4,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CHL,army,Chile Armed Forces,787,regular_army,8,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CHL,navy,Chile Fleet,787,surface_fleet,6,3,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
CHN,army,China Armed Forces,1816,regular_army,27,4,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CHN,navy,China Fleet,667,surface_fleet,15,4,generated:coastal-provinces-and-technology-tier,Simplified first-pass fleet; real naval inventory pending.
CMO,army,Comoros Armed Forces,4020,regular_army,2,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CMR,army,Cameroon Armed Forces,3022,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
CNG,army,Republic of the Congo Armed Forces,1169,regular_army,3,2,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
COL,army,Colombia Armed Forces,825,regular_army,10,3,generated:development-and-technology-tier,Simplified first-pass formation; real order of battle pending.
