province_id,name,owner,controller,core,culture,religion,capital,trade_goods,base_tax,base_production,base_manpower,is_city,hre,center_of_trade,native_size,native_ferocity,native_hostileness,source,verification_notes
1,Uppland,SWE,SWE,SWE,swedish,protestant,Stockholm,glass,9,10,9,yes,no,2,10,2,1,et:history/provinces/1 - Uppland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
2,Ostergotland,SWE,SWE,SWE,swedish,protestant,Norrköping,grain,8,5,4,yes,no,0,15,2,1,et:history/provinces/2 - Ostergotland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
3,Kalmar,SWE,SWE,SWE,swedish,protestant,Kalmar,naval_supplies,3,4,3,yes,no,0,15,2,1,et:history/provinces/3 - Kalmar.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
4,Bergslagen,SWE,SWE,SWE,swedish,protestant,Västerås,iron,4,4,3,yes,no,0,10,2,3,et:history/provinces/4 - Bergslagen.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
5,Varmland,SWE,SWE,SWE,swedish,protestant,Karlstad,iron,3,2,2,yes,no,0,10,2,3,et:history/provinces/5 - Varmland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
6,Skane,SWE,SWE,SWE,swedish,protestant,Malmö,iron,7,7,6,yes,no,0,0,0,0,et:history/provinces/6 - Skane.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
7,Skaraborg,SWE,SWE,SWE,swedish,protestant,Skara,grain,4,4,2,yes,no,0,15,2,1,et:history/provinces/7 - Skaraborg.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
8,Dalaskogen,SWE,SWE,SWE,swedish,protestant,Mora,copper,4,2,2,yes,no,0,10,3,1,et:history/provinces/8 - Dalaskogen.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
9,Halsingland,SWE,SWE,SWE,swedish,protestant,Gävle,fish,5,4,3,yes,no,0,10,2,3,et:history/provinces/9 - Halsingland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
10,Jamtland,SWE,SWE,SWE,swedish,protestant,Östersund,paper,2,2,1,yes,no,0,10,2,3,et:history/provinces/10 - Jamtland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
11,Vasterbotten,SWE,SWE,SWE,swedish,protestant,Umeå,paper,1,1,1,yes,no,0,15,2,3,et:history/provinces/11 - Vasterbotten.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
12,Sjaelland,DAN,DAN,DAN,danish,protestant,København,glass,12,12,11,yes,no,0,0,0,0,et:history/provinces/12 - Sjaelland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
13,Slesvig,GER,GER,GER,lower_saxon,protestant,Schleswig,livestock,5,5,3,yes,no,0,0,0,0,et:history/provinces/13 - Slesvig.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
14,Fyn,DAN,DAN,DAN,danish,protestant,Odense,fish,5,5,4,yes,no,0,0,0,0,et:history/provinces/14 - Fyn.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
15,Jylland,DAN,DAN,DAN,danish,protestant,Ribe,livestock,3,3,2,yes,no,0,0,0,0,et:history/provinces/15 - Jylland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
16,Bohuslan,SWE,SWE,SWE,swedish,protestant,Uddevalla,fish,4,4,3,yes,no,0,10,2,2,et:history/provinces/16 - Bohuslan.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
17,Akershus,NOR,NOR,NOR,norwegian,protestant,Oslo,glass,15,14,5,yes,no,1,10,2,4,et:history/provinces/17 - Akershus.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
18,Lappland,SWE,SWE,SWE,swedish,protestant,Lycksele,paper,1,1,1,yes,no,0,3,2,1,et:history/provinces/18 - Lappland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
19,Osterbotten,FIN,FIN,FIN,finnish,protestant,Oulu,naval_supplies,5,4,4,yes,no,0,5,2,1,et:history/provinces/19 - Osterbotten.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
20,Trondelag,NOR,NOR,NOR,norwegian,protestant,Trondheim,fish,9,10,4,yes,no,1,15,2,4,et:history/provinces/20 - Trondelag.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
21,Halogaland,NOR,NOR,NOR,norwegian,protestant,Bodø,fish,5,5,2,yes,no,0,5,2,4,et:history/provinces/21 - Halogaland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
22,Eisdiva,NOR,NOR,NOR,norwegian,protestant,Hamar,copper,2,2,2,yes,no,0,5,2,2,et:history/provinces/22 - Eisdiva.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
23,Bergenshus,NOR,NOR,NOR,norwegian,protestant,Bergen,coal,7,9,4,yes,no,2,15,2,4,et:history/provinces/23 - Bergenshus.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
24,Agder,NOR,NOR,NOR,norwegian,protestant,Stavanger,coal,7,7,3,yes,no,0,10,2,3,et:history/provinces/24 - Agder.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
25,Gotland,SWE,SWE,SWE,swedish,protestant,Visby,wool,4,4,2,yes,no,1,10,2,1,et:history/provinces/25 - Gotland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
26,Halland,SWE,SWE,SWE,swedish,protestant,Halmstad,livestock,4,4,2,yes,no,0,0,0,0,et:history/provinces/26 - Halland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
27,Finland,FIN,FIN,FIN,finnish,protestant,Turku,grain,6,5,4,yes,no,0,10,2,2,et:history/provinces/27 - Finland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
28,Nyland,FIN,FIN,FIN,finnish,protestant,Helsinki,glass,10,10,9,yes,no,0,10,2,1,et:history/provinces/28 - Nyland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
29,Tavastland,FIN,FIN,FIN,finnish,protestant,Jyväskylä,naval_supplies,4,4,4,yes,no,0,10,2,3,et:history/provinces/29 - Tavastland.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
30,Viborg,RUS,RUS,RUS,novgorodian,orthodox,Vyborg,naval_supplies,2,2,2,yes,no,0,10,2,3,et:history/provinces/30 - Viborg.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
31,Savolaks,FIN,FIN,FIN,finnish,protestant,Kuopio,paper,4,4,4,yes,no,0,10,2,4,et:history/provinces/31 - Savolaks.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
32,Keksholm,RUS,RUS,RUS,novgorodian,orthodox,Priozersk,fur,2,2,1,yes,no,0,10,2,4,et:history/provinces/32 - Keksholm.txt,Effective ET state on 2000.1.1; EU4 2K balanced development model.
